Data;189 - Índice geral de preços do mercado (IGP-M) - Var. % mensal;190 - Índice geral de preços-disponibilidade interna (IGP-DI) - Var. % mensal;225 - Índice de preços ao produtor amplo - Var. % mensal;433 - Índice nacional de preços ao consumidor-amplo (IPCA) - Var. % mensal;1586 - Emprego formal - Índice geral - Índice;2946 - Exportações - Total - US$;3034 - Importações - Total - US$;3698 - Taxa de câmbio - Livre - Dólar americano (venda) - Média de período - mensal - u.m.c./US$;3794 - Índice de preços ao consumidor (2005=100) - Estados Unidos - Índice
01/2000;1,24 ;1,02 ;1,02 ;0,62 ;66,13 ;3.453.879.475 ;3.568.862.639 ;1,8037 ;77,40
02/2000;0,35 ;0,19 ;0,17 ;0,13 ;66,41 ;4.124.889.858 ;4.046.750.398 ;1,7753 ;77,90
03/2000;0,15 ;0,18 ;-0,05 ;0,22 ;66,54 ;4.473.245.145 ;4.452.388.562 ;1,7420 ;78,50
04/2000;0,23 ;0,13 ;-0,02 ;0,42 ;66,93 ;4.183.741.237 ;3.996.925.496 ;1,7682 ;78,60
05/2000;0,31 ;0,67 ;0,69 ;0,01 ;67,43 ;5.065.528.883 ;4.697.876.646 ;1,8279 ;78,60
06/2000;0,85 ;0,93 ;1,45 ;0,23 ;67,88 ;4.863.568.081 ;4.605.748.293 ;1,8083 ;79,10
07/2000;1,57 ;2,26 ;2,79 ;1,61 ;68,20 ;5.005.990.739 ;4.887.298.954 ;1,7978 ;79,20
08/2000;2,39 ;1,82 ;2,56 ;1,31 ;68,45 ;5.522.393.935 ;5.425.167.233 ;1,8092 ;79,20
09/2000;1,16 ;0,69 ;1,09 ;0,23 ;68,74 ;4.727.432.602 ;5.054.179.504 ;1,8392 ;79,70
10/2000;0,38 ;0,37 ;0,56 ;0,14 ;68,78 ;4.641.288.911 ;5.188.245.047 ;1,8796 ;79,80
11/2000;0,29 ;0,39 ;0,38 ;0,32 ;68,78 ;4.394.431.433 ;5.052.874.250 ;1,9480 ;79,80
12/2000;0,63 ;0,76 ;0,85 ;0,59 ;68,10 ;4.662.529.566 ;4.874.346.116 ;1,9633 ;79,80
01/2001;0,62 ;0,49 ;0,40 ;0,57 ;68,25 ;4.541.623.764 ;5.022.206.001 ;1,9545 ;80,30
02/2001;0,23 ;0,34 ;0,31 ;0,46 ;68,50 ;4.086.790.148 ;4.003.034.945 ;2,0019 ;80,60
03/2001;0,56 ;0,80 ;1,01 ;0,38 ;68,61 ;5.173.027.536 ;5.449.181.143 ;2,0890 ;80,80
