nome	matematica	fisica	portugues	historia	zoologia	botanica
ALUNO_01	2,49	2,55	7,76	9,64	4,97	3,88
ALUNO_02	6,56	6,36	5,11	3,88	6,06	5,71
ALUNO_03	4,38	3,99	6,48	7,23	5,79	4,54
ALUNO_04	8,13	8,05	2,64	2,52	4,68	4,82
ALUNO_05	7,3	6,59	4,46	3,15	5,45	5,06
ALUNO_06	4,94	4,55	6,07	5,63	7,08	5,02
ALUNO_07	2,52	3,34	7,44	8,64	5,11	4,25
ALUNO_08	1,27	2,24	9,25	9,83	4,92	3,71
ALUNO_09	5,73	4,76	5,61	4,29	7,31	7,09
ALUNO_10	8,28	8,07	2,16	2,46	4,38	4,79
ALUNO_11	5,3	4,59	5,76	5,17	7,21	6,18
ALUNO_12	4,78	4,34	6,33	6,98	6,03	4,7
ALUNO_13	7,38	7,23	3,78	3,11	5,43	4,96
ALUNO_14	8,78	9,4	2,4	2,38	4,07	4,49
ALUNO_15	1,62	2,41	9,58	9,6	4,67	3,34
ALUNO_16	0,95	3,44	9,75	9,9	4,74	3,36
ALUNO_17	6,67	6,46	5	3,72	6	5,53
ALUNO_18	9,87	9,96	3,46	1,23	3,62	4,32
ALUNO_19	6,32	4,78	5,3	4,17	6,87	6,34
ALUNO_20	3,78	3,53	6,9	7,8	5,46	4,47
ALUNO_21	3,09	3,42	7,38	7,87	5,21	4,35
ALUNO_22	8,68	8,52	2,03	2,4	4,38	4,68
ALUNO_23	9,5	9,89	1,07	1,82	3,92	4,41
ALUNO_24	9,69	9,75	2,22	0,53	3,51	3,48
ALUNO_25	1,67	0,29	9,38	9,83	3,58	3,09
ALUNO_26	2,83	2,17	9,71	9,7	4,86	3,46
ALUNO_27	6,95	6,55	4,84	3,43	5,89	5,31
ALUNO_28	7,95	7,79	2,73	2,71	4,76	4,9
ALUNO_29	7,48	7,28	3,23	2,83	4,98	4,93
ALUNO_30	4,82	4,46	6,17	6,54	6,21	4,94
