Data;4189 - Taxa de juros - Selic acumulada no mês anualizada - % a.a.;4385 - PIB mensal - Em US$ milhões - US$ (milhões);4392 - Taxa de juros - CDI acumulada no mês anualizada base 252 - % a.a.;4447 - Índice nacional de preços ao consumidor-Amplo (IPCA) - Comercializáveis - Var. % mensal;4448 - Índice de Preços ao Consumidor-Amplo (IPCA) - Não comercializáveis - Var. % mensal;18152 - Taxa de juros oficial – Estados Unidos - % a.a.;20048 - Índice de Commodities - Brasil - Índice
01/2000;18,94 ;48.380 ;18,73 ;0,47 ;0,85 ;5,50 ;54,50
02/2000;18,87 ;50.242 ;18,72 ;0,10 ;0,37 ;5,50 ;53,47
03/2000;18,85 ;53.198 ;18,70 ;-0,33 ;0,15 ;5,75 ;53,00
04/2000;18,62 ;51.800 ;18,43 ;0,05 ;1,11 ;6,00 ;53,27
05/2000;18,51 ;54.255 ;18,44 ;-0,04 ;-0,11 ;6,00 ;56,65
06/2000;18,04 ;54.787 ;17,95 ;0,59 ;-0,15 ;6,50 ;56,22
07/2000;16,85 ;54.693 ;16,79 ;1,37 ;0,01 ;6,50 ;55,94
08/2000;16,52 ;56.069 ;16,39 ;1,09 ;0,57 ;6,50 ;56,41
09/2000;16,56 ;54.785 ;16,47 ;0,25 ;0,40 ;6,50 ;58,42
10/2000;16,60 ;57.103 ;16,48 ;0,01 ;0,42 ;6,50 ;60,08
11/2000;16,51 ;56.074 ;16,44 ;-0,04 ;0,17 ;6,50 ;62,33
12/2000;16,19 ;53.597 ;16,13 ;0,07 ;-0,12 ;6,50 ;63,77
01/2001;15,49 ;43.441 ;15,40 ;0,28 ;0,71 ;6,50 ;62,97
02/2001;15,20 ;43.659 ;15,10 ;0,10 ;0,78 ;5,50 ;62,92
03/2001;15,39 ;46.872 ;15,29 ;0,41 ;0,63 ;5,50 ;63,02
04/2001;16,02 ;46.749 ;15,93 ;0,60 ;1,06 ;5,00 ;64,69
05/2001;16,43 ;48.350 ;16,40 ;0,45 ;0,36 ;4,50 ;67,42
06/2001;17,28 ;45.066 ;17,28 ;0,27 ;0,05 ;4,00 ;68,59
07/2001;18,57 ;46.510 ;18,61 ;0,73 ;0,42 ;3,75 ;70,08
08/2001;19,00 ;47.640 ;19,01 ;0,63 ;0,58 ;3,75 ;69,72
09/2001;19,06 ;46.376 ;19,04 ;0,29 ;0,13 ;3,50 ;70,01
